"dep";"sexe";"jour";"hosp";"rea";"dc";"rad"
"30";0;"2020-04-22";151;37;37;143
"30";1;"2020-04-22";82;25;20;80
"30";2;"2020-04-22";69;12;17;63
"31";0;"2020-04-22";179;71;39;392
"31";1;"2020-04-22";114;61;27;210
"31";2;"2020-04-22";62;10;12;179
"32";0;"2020-04-22";52;6;13;27
"32";1;"2020-04-22";28;4;8;17
"32";2;"2020-04-22";24;2;5;10
"33";0;"2020-04-22";279;77;96;540
"33";1;"2020-04-22";142;59;47;275
"33";2;"2020-04-22";137;18;49;264
"34";0;"2020-04-22";146;39;96;492
"34";1;"2020-04-22";70;26;56;244
"34";2;"2020-04-22";72;12;40;243
"35";0;"2020-04-22";171;25;63;230
"35";1;"2020-04-22";97;16;33;136
"35";2;"2020-04-22";71;7;30;93
"36";0;"2020-04-22";111;8;56;50
"36";1;"2020-04-22";50;4;34;20
"36";2;"2020-04-22";60;4;22;29
"37";0;"2020-04-22";168;38;53;168
"37";1;"2020-04-22";84;29;36;87
"37";2;"2020-04-22";83;8;17;80
"38";0;"2020-04-22";225;33;84;350
"38";1;"2020-04-22";106;25;50;173
"38";2;"2020-04-22";116;8;34;175
"39";0;"2020-04-22";115;11;40;124
"39";1;"2020-04-22";49;8;20;54
"39";2;"2020-04-22";64;2;20;70
"40";0;"2020-04-22";28;3;10;38
"40";1;"2020-04-22";18;2;6;21
"40";2;"2020-04-22";10;1;4;17
"41";0;"2020-04-22";113;15;36;97
"41";1;"2020-04-22";56;12;24;52
"41";2;"2020-04-22";57;3;12;45
"42";0;"2020-04-22";445;88;161;501
"42";1;"2020-04-22";249;70;110;261
"42";2;"2020-04-22";193;16;51;234
"43";0;"2020-04-22";38;1;7;62
"43";1;"2020-04-22";15;1;5;22
"43";2;"2020-04-22";23;0;2;40
"44";0;"2020-04-22";267;37;105;328
"44";1;"2020-04-22";130;30;60;182
"44";2;"2020-04-22";133;7;44;145
"45";0;"2020-04-22";255;64;61;338
"45";1;"2020-04-22";140;47;38;172
"45";2;"2020-04-22";115;17;23;166
"46";0;"2020-04-22";26;9;14;110
"46";1;"2020-04-22";14;5;5;39
"46";2;"2020-04-22";12;4;9;71
"47";0;"2020-04-22";36;3;5;33
"47";1;"2020-04-22";21;3;5;17
"47";2;"2020-04-22";15;0;0;15
"48";0;"2020-04-22";4;1;0;13
"48";1;"2020-04-22";1;1;0;9
"48";2;"2020-04-22";3;0;0;4
"49";0;"2020-04-22";188;34;82;334
"49";1;"2020-04-22";112;25;48;157
"49";2;"2020-04-22";74;9;34;175
"50";0;"2020-04-22";61;14;34;85
"50";1;"2020-04-22";37;12;16;44
"50";2;"2020-04-22";24;2;18;38
"51";0;"2020-04-22";340;48;190;612
"51";1;"2020-04-22";190;37;114;278
"51";2;"2020-04-22";145;11;74;326
"52";0;"2020-04-22";79;23;51;122
"52";1;"2020-04-22";38;11;23;70
"52";2;"2020-04-22";41;12;28;52
"53";0;"2020-04-22";92;10;27;65
"53";1;"2020-04-22";38;8;14;35
"53";2;"2020-04-22";54;2;13;30
"54";0;"2020-04-22";435;107;242;588
"54";1;"2020-04-22";225;77;141;282
"54";2;"2020-04-22";199;25;99;285
"55";0;"2020-04-22";145;14;77;254
"55";1;"2020-04-22";74;11;42;130
"55";2;"2020-04-22";70;3;35;124
"56";0;"2020-04-22";119;21;75;249
"56";1;"2020-04-22";69;19;46;138
"56";2;"2020-04-22";50;2;29;111
"57";0;"2020-04-22";994;137;594;1240
"57";1;"2020-04-22";507;95;337;625
"57";2;"2020-04-22";482;42;253;609
"58";0;"2020-04-22";55;7;21;31
"58";1;"2020-04-22";19;5;10;10
"58";2;"2020-04-22";36;2;11;21
"59";0;"2020-04-22";932;207;390;1089
"59";1;"2020-04-22";483;155;206;563
"59";2;"2020-04-22";443;51;179;518
"60";0;"2020-04-22";461;54;292;632
"60";1;"2020-04-22";209;38;169;338
"60";2;"2020-04-22";248;16;122;289
"61";0;"2020-04-22";62;13;27;141
"61";1;"2020-04-22";41;12;17;54
"61";2;"2020-04-22";20;1;10;87
"62";0;"2020-04-22";459;78;169;645
"62";1;"2020-04-22";238;58;97;304
"62";2;"2020-04-22";217;18;72;336
"63";0;"2020-04-22";59;18;30;107
"63";1;"2020-04-22";32;14;19;59
"63";2;"2020-04-22";27;4;11;48
"64";0;"2020-04-22";77;12;20;130
"64";1;"2020-04-22";38;9;14;71
"64";2;"2020-04-22";39;3;6;59
"65";0;"2020-04-22";76;4;18;77
"65";1;"2020-04-22";30;3;8;42
"65";2;"2020-04-22";46;1;10;34
"66";0;"2020-04-22";26;12;25;246
"66";1;"2020-04-22";19;10;11;103
"66";2;"2020-04-22";7;2;14;143
"67";0;"2020-04-22";992;194;462;1440
"67";1;"2020-04-22";521;134;269;808
"67";2;"2020-04-22";464;60;190;624
"68";0;"2020-04-22";946;117;646;1626
"68";1;"2020-04-22";487;78;394;879
"68";2;"2020-04-22";452;39;247;745
"69";0;"2020-04-22";1204;207;437;1508
"69";1;"2020-04-22";582;156;237;747
"69";2;"2020-04-22";617;51;190;728
"70";0;"2020-04-22";91;17;62;148
"70";1;"2020-04-22";50;13;39;79
"70";2;"2020-04-22";40;4;23;68
"71";0;"2020-04-22";227;29;137;366
"71";1;"2020-04-22";114;22;70;168
"71";2;"2020-04-22";113;7;67;196
"72";0;"2020-04-22";139;13;43;181
"72";1;"2020-04-22";68;9;23;93
"72";2;"2020-04-22";70;4;20;88
"73";0;"2020-04-22";83;13;39;272
"73";1;"2020-04-22";49;9;26;125
"73";2;"2020-04-22";34;4;13;146
"74";0;"2020-04-22";259;44;122;535
"74";1;"2020-04-22";142;34;73;301
"74";2;"2020-04-22";112;9;49;227
"75";0;"2020-04-22";2784;589;1288;3334
"75";1;"2020-04-22";1527;444;822;1965
"75";2;"2020-04-22";1226;142;456;1342
"76";0;"2020-04-22";259;72;127;447
"76";1;"2020-04-22";134;49;83;213
"76";2;"2020-04-22";119;23;42;231
"77";0;"2020-04-22";718;148;417;1416
"77";1;"2020-04-22";389;103;248;818
"77";2;"2020-04-22";325;45;168;583
"78";0;"2020-04-22";892;131;378;1208
"78";1;"2020-04-22";450;100;229;688
"78";2;"2020-04-22";432;29;147;515
"79";0;"2020-04-22";29;3;14;35
"79";1;"2020-04-22";18;1;8;15
"79";2;"2020-04-22";11;2;6;20
"80";0;"2020-04-22";329;48;159;418
"80";1;"2020-04-22";142;38;97;210
"80";2;"2020-04-22";183;10;61;201
"81";0;"2020-04-22";40;12;17;63
"81";1;"2020-04-22";18;9;8;33
"81";2;"2020-04-22";22;3;9;29
"82";0;"2020-04-22";16;7;3;27
"82";1;"2020-04-22";12;6;3;15
"82";2;"2020-04-22";4;1;0;12
"83";0;"2020-04-22";325;50;93;472
"83";1;"2020-04-22";189;37;52;259
"83";2;"2020-04-22";133;12;40;212
"84";0;"2020-04-22";67;13;26;145
"84";1;"2020-04-22";39;10;16;73
"84";2;"2020-04-22";28;3;10;72
"85";0;"2020-04-22";61;13;28;118
"85";1;"2020-04-22";31;9;19;66
"85";2;"2020-04-22";30;4;9;52
"86";0;"2020-04-22";55;11;25;76
"86";1;"2020-04-22";31;7;12;38
"86";2;"2020-04-22";23;3;12;38
"87";0;"2020-04-22";53;10;21;79
"87";1;"2020-04-22";23;7;10;40
"87";2;"2020-04-22";30;3;11;38
"88";0;"2020-04-22";244;21;218;386
"88";1;"2020-04-22";116;14;128;204
"88";2;"2020-04-22";127;7;90;180
"89";0;"2020-04-22";119;26;43;134
"89";1;"2020-04-22";60;23;24;72
"89";2;"2020-04-22";59;3;19;61
"90";0;"2020-04-22";168;26;140;328
"90";1;"2020-04-22";92;21;84;193
"90";2;"2020-04-22";75;5;56;135
"91";0;"2020-04-22";1185;183;350;917
"91";1;"2020-04-22";579;122;206;554
"91";2;"2020-04-22";585;56;141;358
"92";0;"2020-04-22";1917;350;739;2281
"92";1;"2020-04-22";1050;264;433;1303
"92";2;"2020-04-22";847;83;301;967
"93";0;"2020-04-22";1582;213;735;1790
"93";1;"2020-04-22";818;149;458;1065
"93";2;"2020-04-22";745;58;270;709
"94";0;"2020-04-22";2098;302;817;1869
"94";1;"2020-04-22";1092;221;466;1046
"94";2;"2020-04-22";987;81;334;799
"95";0;"2020-04-22";958;139;495;1463
"95";1;"2020-04-22";512;99;318;859
"95";2;"2020-04-22";439;39;175;598
"971";0;"2020-04-22";25;13;12;69
"971";1;"2020-04-22";19;9;5;33
"971";2;"2020-04-22";6;4;7;36
"972";0;"2020-04-22";34;9;13;62
"972";1;"2020-04-22";22;7;10;32
"972";2;"2020-04-22";12;2;3;30
"973";0;"2020-04-22";2;1;1;32
"973";1;"2020-04-22";1;0;1;15
"973";2;"2020-04-22";1;1;0;17
"974";0;"2020-04-22";12;2;0;96
"974";1;"2020-04-22";9;2;0;45
"974";2;"2020-04-22";3;0;0;51
"976";0;"2020-04-22";23;4;6;54
"976";1;"2020-04-22";16;4;5;31
"976";2;"2020-04-22";6;0;1;22
"01";0;"2020-04-23";164;20;72;220
"01";1;"2020-04-23";79;16;42;122
"01";2;"2020-04-23";82;4;29;92
"02";0;"2020-04-23";281;40;189;574
"02";1;"2020-04-23";141;26;112;224
"02";2;"2020-04-23";140;14;74;348
"03";0;"2020-04-23";54;16;23;107
"03";1;"2020-04-23";28;12;11;45
"03";2;"2020-04-23";25;4;11;61
"04";0;"2020-04-23";29;2;7;95
"04";1;"2020-04-23";14;0;5;38
"04";2;"2020-04-23";15;2;2;56
"05";0;"2020-04-23";41;8;6;89
"05";1;"2020-04-23";15;5;2;54
"05";2;"2020-04-23";26;3;4;35
"06";0;"2020-04-23";270;48;111;382
"06";1;"2020-04-23";134;28;60;182
"06";2;"2020-04-23";124;16;49;190
"07";0;"2020-04-23";97;24;55;251
"07";1;"2020-04-23";63;21;35;104
"07";2;"2020-04-23";31;1;15;123
"08";0;"2020-04-23";60;13;42;104
"08";1;"2020-04-23";25;9;21;54
"08";2;"2020-04-23";34;4;21;48
"09";0;"2020-04-23";13;1;2;22
"09";1;"2020-04-23";3;1;1;13
"09";2;"2020-04-23";9;0;1;7
"10";0;"2020-04-23";262;17;95;314
"10";1;"2020-04-23";137;14;62;173
"10";2;"2020-04-23";122;2;32;140
"11";0;"2020-04-23";61;9;45;140
"11";1;"2020-04-23";33;7;32;76
"11";2;"2020-04-23";28;2;13;64
"12";0;"2020-04-23";59;2;20;85
"12";1;"2020-04-23";24;2;11;45
"12";2;"2020-04-23";35;0;9;40
"13";0;"2020-04-23";1050;194;328;1935
"13";1;"2020-04-23";548;138;172;988
"13";2;"2020-04-23";496;55;154;911
"14";0;"2020-04-23";138;28;53;150
"14";1;"2020-04-23";61;21;37;85
"14";2;"2020-04-23";77;7;16;64
"15";0;"2020-04-23";25;5;3;23
"15";1;"2020-04-23";16;4;2;13
"15";2;"2020-04-23";9;1;1;10
"16";0;"2020-04-23";10;2;10;36
"16";1;"2020-04-23";3;1;7;22
"16";2;"2020-04-23";6;0;3;14
"17";0;"2020-04-23";80;15;34;79
"17";1;"2020-04-23";47;13;22;45
"17";2;"2020-04-23";33;2;12;34
"18";0;"2020-04-23";83;4;48;64
"18";1;"2020-04-23";35;4;26;34
"18";2;"2020-04-23";47;0;21;30
"19";0;"2020-04-23";73;10;22;54
"19";1;"2020-04-23";44;7;20;28
"19";2;"2020-04-23";28;2;2;26
"21";0;"2020-04-23";340;56;189;549
"21";1;"2020-04-23";151;31;114;251
"21";2;"2020-04-23";188;25;75;294
"22";0;"2020-04-23";54;6;24;114
"22";1;"2020-04-23";26;4;15;56
"22";2;"2020-04-23";27;2;9;58
"23";0;"2020-04-23";29;10;5;16
"23";1;"2020-04-23";13;5;3;11
"23";2;"2020-04-23";16;5;2;5
"24";0;"2020-04-23";45;5;9;39
"24";1;"2020-04-23";23;2;3;22
"24";2;"2020-04-23";22;3;5;17
"25";0;"2020-04-23";177;50;106;377
"25";1;"2020-04-23";97;37;63;196
"25";2;"2020-04-23";79;12;41;177
"26";0;"2020-04-23";144;37;110;347
"26";1;"2020-04-23";85;25;65;188
"26";2;"2020-04-23";57;10;45;159
"27";0;"2020-04-23";110;11;62;81
"27";1;"2020-04-23";51;10;31;40
"27";2;"2020-04-23";58;1;31;40
"28";0;"2020-04-23";240;24;78;279
"28";1;"2020-04-23";103;19;39;143
"28";2;"2020-04-23";127;4;38;123
"29";0;"2020-04-23";79;20;34;121
"29";1;"2020-04-23";47;14;20;71
"29";2;"2020-04-23";32;6;13;49
"2A";0;"2020-04-23";55;7;41;83
"2A";1;"2020-04-23";22;6;26;35
"2A";2;"2020-04-23";33;1;15;48
"2B";0;"2020-04-23";11;2;8;83
"2B";1;"2020-04-23";6;1;5;44
"2B";2;"2020-04-23";5;1;3;39
"30";0;"2020-04-23";131;29;43;162
"30";1;"2020-04-23";70;18;22;90
"30";2;"2020-04-23";61;11;21;72
"31";0;"2020-04-23";173;70;40;403
"31";1;"2020-04-23";111;60;28;216
"31";2;"2020-04-23";58;10;12;184
"32";0;"2020-04-23";49;5;16;30
"32";1;"2020-04-23";24;4;10;20
"32";2;"2020-04-23";25;1;6;10
"33";0;"2020-04-23";266;75;100;571
"33";1;"2020-04-23";136;56;49;293
"33";2;"2020-04-23";130;19;51;277
"34";0;"2020-04-23";137;41;97;501
"34";1;"2020-04-23";66;29;57;247
"34";2;"2020-04-23";68;11;40;248
"35";0;"2020-04-23";171;22;66;235
"35";1;"2020-04-23";98;15;34;138
"35";2;"2020-04-23";70;5;32;96
"36";0;"2020-04-23";110;8;57;55
"36";1;"2020-04-23";51;4;34;22
"36";2;"2020-04-23";58;4;23;32
"37";0;"2020-04-23";162;37;54;175
"37";1;"2020-04-23";77;28;37;92
"37";2;"2020-04-23";84;8;17;82
"38";0;"2020-04-23";224;36;89;365
"38";1;"2020-04-23";109;27;52;180
"38";2;"2020-04-23";112;9;37;183
"39";0;"2020-04-23";108;10;43;135
"39";1;"2020-04-23";45;9;22;59
"39";2;"2020-04-23";61;1;21;76
"40";0;"2020-04-23";27;4;10;40
"40";1;"2020-04-23";18;3;6;22
"40";2;"2020-04-23";9;1;4;18
"41";0;"2020-04-23";115;13;36;100
"41";1;"2020-04-23";56;11;24;54
"41";2;"2020-04-23";59;2;12;46
"42";0;"2020-04-23";444;85;166;516
"42";1;"2020-04-23";242;69;112;270
"42";2;"2020-04-23";199;14;54;240
"43";0;"2020-04-23";36;1;9;65
"43";1;"2020-04-23";15;1;6;24
"43";2;"2020-04-23";21;0;3;41
"44";0;"2020-04-23";269;36;106;335
"44";1;"2020-04-23";133;29;60;184
"44";2;"2020-04-23";132;7;45;150
"45";0;"2020-04-23";255;57;61;350
"45";1;"2020-04-23";136;43;38;181
"45";2;"2020-04-23";119;14;23;169
"46";0;"2020-04-23";24;8;14;113
"46";1;"2020-04-23";13;5;5;40
"46";2;"2020-04-23";11;3;9;73
"47";0;"2020-04-23";36;3;5;33
"47";1;"2020-04-23";21;3;5;17
"47";2;"2020-04-23";15;0;0;15
"48";0;"2020-04-23";4;1;0;13
"48";1;"2020-04-23";1;1;0;9
"48";2;"2020-04-23";3;0;0;4
"49";0;"2020-04-23";190;32;85;345
"49";1;"2020-04-23";113;24;50;165
"49";2;"2020-04-23";75;8;35;178
"50";0;"2020-04-23";53;13;35;94
"50";1;"2020-04-23";33;11;17;45
"50";2;"2020-04-23";20;2;18;46
"51";0;"2020-04-23";333;46;195;625
"51";1;"2020-04-23";186;35;117;283
"51";2;"2020-04-23";142;11;76;334
"52";0;"2020-04-23";76;23;52;124
"52";1;"2020-04-23";37;12;23;72
"52";2;"2020-04-23";39;11;29;52
"53";0;"2020-04-23";91;10;27;67
"53";1;"2020-04-23";39;8;14;35
"53";2;"2020-04-23";52;2;13;32
"54";0;"2020-04-23";445;108;241;601
"54";1;"2020-04-23";226;79;141;292
"54";2;"2020-04-23";208;25;98;288
"55";0;"2020-04-23";133;15;78;250
"55";1;"2020-04-23";68;10;43;127
"55";2;"2020-04-23";65;5;35;123
"56";0;"2020-04-23";126;21;75;253
"56";1;"2020-04-23";72;19;46;141
"56";2;"2020-04-23";53;2;29;112
"57";0;"2020-04-23";980;140;602;1299
"57";1;"2020-04-23";502;98;342;654
"57";2;"2020-04-23";474;42;256;639
"58";0;"2020-04-23";51;7;21;38
"58";1;"2020-04-23";18;5;10;12
"58";2;"2020-04-23";33;2;11;26
"59";0;"2020-04-23";927;210;396;1125
"59";1;"2020-04-23";484;157;208;578
"59";2;"2020-04-23";437;52;183;539
"60";0;"2020-04-23";464;54;298;649
"60";1;"2020-04-23";209;37;172;342
"60";2;"2020-04-23";251;17;125;302
"61";0;"2020-04-23";65;13;27;142
"61";1;"2020-04-23";42;12;17;55
"61";2;"2020-04-23";22;1;10;87
"62";0;"2020-04-23";439;70;189;693
"62";1;"2020-04-23";214;50;112;335
"62";2;"2020-04-23";221;18;77;353
"63";0;"2020-04-23";51;18;30;116
"63";1;"2020-04-23";29;14;19;62
"63";2;"2020-04-23";22;4;11;54
"64";0;"2020-04-23";71;10;20;138
"64";1;"2020-04-23";35;9;14;75
"64";2;"2020-04-23";36;1;6;63
"65";0;"2020-04-23";74;4;18;81
"65";1;"2020-04-23";29;3;8;44
"65";2;"2020-04-23";44;1;10;36
"66";0;"2020-04-23";26;12;27;246
"66";1;"2020-04-23";18;10;12;104
"66";2;"2020-04-23";8;2;15;142
"67";0;"2020-04-23";931;186;472;1519
"67";1;"2020-04-23";497;130;272;841
"67";2;"2020-04-23";428;56;197;669
"68";0;"2020-04-23";956;116;649;1653
"68";1;"2020-04-23";486;78;395;895
"68";2;"2020-04-23";463;38;249;756
"69";0;"2020-04-23";1198;188;444;1546
"69";1;"2020-04-23";572;146;241;771
"69";2;"2020-04-23";621;42;193;742
"70";0;"2020-04-23";96;17;63;148
"70";1;"2020-04-23";55;13;40;78
"70";2;"2020-04-23";40;4;23;69
"71";0;"2020-04-23";230;27;141;370
"71";1;"2020-04-23";116;21;72;170
"71";2;"2020-04-23";114;6;69;198
"72";0;"2020-04-23";141;15;44;189
"72";1;"2020-04-23";72;11;24;96
"72";2;"2020-04-23";69;4;20;93
"73";0;"2020-04-23";80;12;40;284
"73";1;"2020-04-23";47;9;26;132
"73";2;"2020-04-23";33;3;14;151
"74";0;"2020-04-23";243;41;126;551
"74";1;"2020-04-23";133;31;77;308
"74";2;"2020-04-23";105;9;49;236
"75";0;"2020-04-23";2705;563;1310;3436
"75";1;"2020-04-23";1471;423;834;2011
"75";2;"2020-04-23";1203;139;464;1397
"76";0;"2020-04-23";248;66;130;464
"76";1;"2020-04-23";126;45;86;222
"76";2;"2020-04-23";117;21;42;237
"77";0;"2020-04-23";693;149;426;1471
"77";1;"2020-04-23";377;106;252;844
"77";2;"2020-04-23";311;43;173;612
"78";0;"2020-04-23";857;125;386;1247
"78";1;"2020-04-23";424;99;235;709
"78";2;"2020-04-23";424;24;149;533
"79";0;"2020-04-23";27;3;14;37
"79";1;"2020-04-23";16;2;8;17
"79";2;"2020-04-23";11;1;6;20
"80";0;"2020-04-23";324;47;161;434
"80";1;"2020-04-23";142;38;97;216
"80";2;"2020-04-23";178;9;63;211
"81";0;"2020-04-23";39;9;17;64
"81";1;"2020-04-23";18;7;8;33
"81";2;"2020-04-23";21;2;9;30
"82";0;"2020-04-23";14;6;3;29
"82";1;"2020-04-23";10;5;3;17
"82";2;"2020-04-23";4;1;0;12
"83";0;"2020-04-23";325;49;97;488
"83";1;"2020-04-23";193;38;53;268
"83";2;"2020-04-23";130;11;43;219
"84";0;"2020-04-23";68;13;26;147
"84";1;"2020-04-23";41;10;16;73
"84";2;"2020-04-23";27;3;10;74
"85";0;"2020-04-23";56;12;29;125
"85";1;"2020-04-23";28;8;20;68
"85";2;"2020-04-23";28;4;9;57
"86";0;"2020-04-23";53;11;27;76
"86";1;"2020-04-23";30;7;14;38
"86";2;"2020-04-23";22;3;12;38
"87";0;"2020-04-23";52;8;21;80
"87";1;"2020-04-23";24;6;10;39
"87";2;"2020-04-23";28;2;11;40
"88";0;"2020-04-23";240;23;220;394
"88";1;"2020-04-23";111;16;130;209
"88";2;"2020-04-23";128;7;90;183
"89";0;"2020-04-23";117;27;49;139
"89";1;"2020-04-23";60;24;27;74
"89";2;"2020-04-23";57;3;22;64
"90";0;"2020-04-23";164;23;141;332
"90";1;"2020-04-23";87;19;84;197
"90";2;"2020-04-23";76;4;57;135
"91";0;"2020-04-23";1150;175;363;981
"91";1;"2020-04-23";558;111;214;588
"91";2;"2020-04-23";573;61;145;386
"92";0;"2020-04-23";1936;353;758;2342
"92";1;"2020-04-23";1053;267;447;1342
"92";2;"2020-04-23";866;83;305;989
"93";0;"2020-04-23";1578;214;752;1858
"93";1;"2020-04-23";804;148;468;1095
"93";2;"2020-04-23";756;59;277;745
"94";0;"2020-04-23";2071;295;827;1961
"94";1;"2020-04-23";1077;215;473;1096
"94";2;"2020-04-23";977;80;337;839
"95";0;"2020-04-23";960;132;508;1499
"95";1;"2020-04-23";505;92;326;883
"95";2;"2020-04-23";449;39;180;610
"971";0;"2020-04-23";24;14;12;70
"971";1;"2020-04-23";17;10;5;34
"971";2;"2020-04-23";7;4;7;36
"972";0;"2020-04-23";33;9;14;62
"972";1;"2020-04-23";21;7;10;32
"972";2;"2020-04-23";12;2;4;30
"973";0;"2020-04-23";3;0;1;34
"973";1;"2020-04-23";1;0;1;16
"973";2;"2020-04-23";2;0;0;18
"974";0;"2020-04-23";10;2;0;98
"974";1;"2020-04-23";7;2;0;47
"974";2;"2020-04-23";3;0;0;51
"976";0;"2020-04-23";21;4;6;58
"976";1;"2020-04-23";14;4;5;35
"976";2;"2020-04-23";6;0;1;22
"01";0;"2020-04-24";166;20;73;224
"01";1;"2020-04-24";79;16;43;123
"01";2;"2020-04-24";84;4;29;95
"02";0;"2020-04-24";292;38;192;586
"02";1;"2020-04-24";146;24;115;228
"02";2;"2020-04-24";146;14;74;356
"03";0;"2020-04-24";52;14;24;110
"03";1;"2020-04-24";27;10;11;46
"03";2;"2020-04-24";25;4;12;62
"04";0;"2020-04-24";30;2;7;97
"04";1;"2020-04-24";15;0;5;39
"04";2;"2020-04-24";15;2;2;57
"05";0;"2020-04-24";38;7;6;92
"05";1;"2020-04-24";14;5;2;55
"05";2;"2020-04-24";23;2;4;37
"06";0;"2020-04-24";269;51;118;387
"06";1;"2020-04-24";135;29;64;183
"06";2;"2020-04-24";121;16;52;194
"07";0;"2020-04-24";99;25;55;252
"07";1;"2020-04-24";65;22;35;104
"07";2;"2020-04-24";31;1;15;124
"08";0;"2020-04-24";54;12;42;105
"08";1;"2020-04-24";23;8;21;54
"08";2;"2020-04-24";30;4;21;49
"09";0;"2020-04-24";11;1;2;25
"09";1;"2020-04-24";4;1;1;13
"09";2;"2020-04-24";6;0;1;10
"10";0;"2020-04-24";232;16;99;338
"10";1;"2020-04-24";128;13;63;188
"10";2;"2020-04-24";101;2;35;149
"11";0;"2020-04-24";61;8;47;143
"11";1;"2020-04-24";32;6;34;78
"11";2;"2020-04-24";29;2;13;65
"12";0;"2020-04-24";46;2;20;98
"12";1;"2020-04-24";20;2;11;49
"12";2;"2020-04-24";26;0;9;49
"13";0;"2020-04-24";1010;186;353;2016
"13";1;"2020-04-24";524;138;187;1032
"13";2;"2020-04-24";482;47;164;947
"14";0;"2020-04-24";148;28;54;153
"14";1;"2020-04-24";66;22;37;85
"14";2;"2020-04-24";82;6;17;67
"15";0;"2020-04-24";21;4;4;26
"15";1;"2020-04-24";13;3;3;15
"15";2;"2020-04-24";8;1;1;11
"16";0;"2020-04-24";9;2;10;37
"16";1;"2020-04-24";2;1;7;23
"16";2;"2020-04-24";6;0;3;14
"17";0;"2020-04-24";74;14;37;81
"17";1;"2020-04-24";42;12;25;47
"17";2;"2020-04-24";32;2;12;34
"18";0;"2020-04-24";83;3;50;65
"18";1;"2020-04-24";34;3;27;35
"18";2;"2020-04-24";48;0;22;30
"19";0;"2020-04-24";77;10;22;55
"19";1;"2020-04-24";45;7;20;29
"19";2;"2020-04-24";31;2;2;26
"21";0;"2020-04-24";303;54;200;582
"21";1;"2020-04-24";131;29;120;268
"21";2;"2020-04-24";171;25;80;310
"22";0;"2020-04-24";53;6;24;116
"22";1;"2020-04-24";25;4;15;57
"22";2;"2020-04-24";27;2;9;59
"23";0;"2020-04-24";26;9;5;20
"23";1;"2020-04-24";12;4;3;13
"23";2;"2020-04-24";14;5;2;7
"24";0;"2020-04-24";35;4;9;48
"24";1;"2020-04-24";17;1;3;27
"24";2;"2020-04-24";18;3;5;21
"25";0;"2020-04-24";177;49;106;388
"25";1;"2020-04-24";94;36;63;204
"25";2;"2020-04-24";82;12;41;180
"26";0;"2020-04-24";139;34;112;357
"26";1;"2020-04-24";83;23;65;194
"26";2;"2020-04-24";54;9;47;163
"27";0;"2020-04-24";113;10;62;82
"27";1;"2020-04-24";52;9;31;40
"27";2;"2020-04-24";60;1;31;41
"28";0;"2020-04-24";239;22;79;280
"28";1;"2020-04-24";103;18;39;144
"28";2;"2020-04-24";127;4;39;123
"29";0;"2020-04-24";80;19;34;121
"29";1;"2020-04-24";47;13;20;71
"29";2;"2020-04-24";33;6;13;49
"2A";0;"2020-04-24";57;7;41;85
"2A";1;"2020-04-24";22;6;26;36
"2A";2;"2020-04-24";35;1;15;49
"2B";0;"2020-04-24";13;2;8;83
"2B";1;"2020-04-24";7;1;5;44
"2B";2;"2020-04-24";6;1;3;39
"30";0;"2020-04-24";126;28;46;172
"30";1;"2020-04-24";65;17;24;94
"30";2;"2020-04-24";61;11;22;78
"31";0;"2020-04-24";159;67;44;420
"31";1;"2020-04-24";104;56;31;225
"31";2;"2020-04-24";50;11;13;192
"32";0;"2020-04-24";37;6;16;43
"32";1;"2020-04-24";20;5;10;25
"32";2;"2020-04-24";17;1;6;18
"33";0;"2020-04-24";252;68;103;584
"33";1;"2020-04-24";133;51;50;297
"33";2;"2020-04-24";119;17;53;286
"34";0;"2020-04-24";126;40;98;513
"34";1;"2020-04-24";62;30;57;251
"34";2;"2020-04-24";61;9;41;256
"35";0;"2020-04-24";164;17;66;246
"35";1;"2020-04-24";93;11;34;144
"35";2;"2020-04-24";69;5;32;101
"36";0;"2020-04-24";113;9;58;55
"36";1;"2020-04-24";53;4;34;22
"36";2;"2020-04-24";59;5;24;32
"37";0;"2020-04-24";159;37;55;182
"37";1;"2020-04-24";77;28;38;93
"37";2;"2020-04-24";81;8;17;88
"38";0;"2020-04-24";219;34;95;380
"38";1;"2020-04-24";110;25;54;184
"38";2;"2020-04-24";105;9;41;194
"39";0;"2020-04-24";108;9;43;137
"39";1;"2020-04-24";45;8;22;60
"39";2;"2020-04-24";61;1;21;77
"40";0;"2020-04-24";27;4;10;42
"40";1;"2020-04-24";18;3;6;23
"40";2;"2020-04-24";9;1;4;19
"41";0;"2020-04-24";120;14;38;102
"41";1;"2020-04-24";58;10;24;55
"41";2;"2020-04-24";62;4;14;47
"42";0;"2020-04-24";438;80;168;527
"42";1;"2020-04-24";241;66;113;274
"42";2;"2020-04-24";194;12;55;247
"43";0;"2020-04-24";39;1;9;65
"43";1;"2020-04-24";16;1;6;24
"43";2;"2020-04-24";22;0;3;41
"44";0;"2020-04-24";256;35;110;349
"44";1;"2020-04-24";126;28;61;191
"44";2;"2020-04-24";126;7;48;157
"45";0;"2020-04-24";252;56;63;354
"45";1;"2020-04-24";133;41;40;184
"45";2;"2020-04-24";118;15;23;170
"46";0;"2020-04-24";23;5;15;123
"46";1;"2020-04-24";12;4;6;43
"46";2;"2020-04-24";11;1;9;80
"47";0;"2020-04-24";33;3;5;36
"47";1;"2020-04-24";19;3;5;19
"47";2;"2020-04-24";14;0;0;16
"48";0;"2020-04-24";2;0;0;15
